* IP * - 127.0.0.1 10/16/2012 6:35:17 PM
* IP * - 127.0.0.1 - 10/16/2012 6:36:18 PM
* IP * - 127.0.0.1 - 10/17/2012 11:11:13 AM
* IP * - 127.0.0.1 - 10/17/2012 1:04:34 PM
* IP * - 127.0.0.1 - 10/17/2012 2:31:48 PM
* IP * - 127.0.0.1 - 10/17/2012 3:17:55 PM
* IP * - 127.0.0.1 - 10/17/2012 5:17:18 PM
* IP * - 127.0.0.1 - 10/17/2012 6:20:59 PM
* IP * - 127.0.0.1 - 10/18/2012 10:21:05 AM
* IP * - 127.0.0.1 - 10/18/2012 11:09:36 AM
* IP * - 127.0.0.1 - 10/18/2012 12:45:04 PM
* IP * - 127.0.0.1 - 10/18/2012 1:21:59 PM
* IP * - 127.0.0.1 - 10/18/2012 2:47:34 PM
* IP * - 127.0.0.1 - 10/18/2012 3:25:55 PM
* IP * - 127.0.0.1 - 10/18/2012 4:45:27 PM
* IP * - 127.0.0.1 - 10/20/2012 4:14:21 PM
* IP * - 127.0.0.1 - 10/29/2012 10:14:59 AM
* IP * - 127.0.0.1 - 10/29/2012 10:15:33 AM
* IP * - 127.0.0.1 - 10/29/2012 10:42:04 AM
* IP * - 127.0.0.1 - 10/29/2012 10:59:27 AM
* IP * - 127.0.0.1 - 10/29/2012 11:01:00 AM
* IP * - 127.0.0.1 - 10/29/2012 11:22:25 AM
* IP * - 127.0.0.1 - 10/29/2012 12:35:50 PM
* IP * - 127.0.0.1 - 10/29/2012 12:48:39 PM
* IP * - 127.0.0.1 - 10/29/2012 12:53:26 PM
* IP * - 127.0.0.1 - 10/29/2012 12:56:41 PM
* IP * - 127.0.0.1 - 10/29/2012 1:09:44 PM
* IP * - 127.0.0.1 - 10/29/2012 3:39:27 PM
* IP * - 127.0.0.1 - 10/29/2012 4:20:29 PM
* IP * - 127.0.0.1 - 10/29/2012 7:01:24 PM
* IP * - 127.0.0.1 - 10/29/2012 8:14:26 PM
* IP * - 127.0.0.1 - 10/30/2012 8:23:13 AM
* IP * - 127.0.0.1 - 10/30/2012 9:41:28 AM
* IP * - 127.0.0.1 - 10/30/2012 10:54:28 AM
* IP * - 127.0.0.1 - 10/30/2012 11:44:54 AM
* IP * - 127.0.0.1 - 10/31/2012 11:18:19 AM
* IP * - 127.0.0.1 - 10/31/2012 12:20:19 PM
* IP * - 127.0.0.1 - 10/31/2012 12:31:27 PM
* IP * - 127.0.0.1 - 10/31/2012 4:48:04 PM
* IP * - 127.0.0.1 - 10/31/2012 5:45:38 PM
* IP * - 127.0.0.1 - 10/31/2012 7:25:24 PM
* IP * - 127.0.0.1 - 11/1/2012 8:00:42 AM
* IP * - 127.0.0.1 - 11/1/2012 8:31:25 AM
* IP * - 127.0.0.1 - 11/1/2012 11:32:41 AM
* IP * - 127.0.0.1 - 11/1/2012 4:14:51 PM
